hotel,branch,year,quarter,title,value_or_%
Hotel Sogo,S01,2024,Q1,ANOR,130
Hotel Sogo,S01,2024,Q1,TNOG,36128
Hotel Sogo,S01,2024,Q1,ANOG,397
Hotel Sogo,S01,2024,Q1,TOR,3
Hotel Sogo,S01,2024,Q1,TFBOG,10538
Hotel Sogo,S01,2024,Q1,AFBOG,116
Hotel Sogo,S01,2024,Q1,%FBOG,0.29
Hotel Sogo,S01,2024,Q1,ARPS/G,637
Hotel Sogo,S01,2024,Q1,AFBPS/FBOG,307
Hotel Sogo,S01,2024,Q1,AFPS/G,90
Hotel Sogo,S01,2024,Q1,SPR,2220
Hotel Sogo,S01,2024,Q1,APS/G,727
Hotel Sogo,S01,2024,Q1,HPR,16
Hotel Sogo,S01,2024,Q1,ALOS,5
Hotel Sogo,S01,2024,Q1,Occupancy,0.67
Hotel Sogo,S01,2024,Q1,NOD,91
Hotel Sogo,S01,2024,Q1,Actual Hours,190063
Hotel Sogo,S01,2024,Q1,Paid Hours,221691
Hotel Sogo,S01,2024,Q1,Room,23022700
Hotel Sogo,S01,2024,Q1,F&B - Rooms,3237291
Hotel Sogo,S01,2024,Q1,F&B - Function,-
Hotel Sogo,S01,2024,Q1,F&B - Outlet,-
Hotel Sogo,S01,2024,Q1,Total Sales,26259991
Hotel Sogo,S01,2024,Q1,Average DRS,742668
Hotel Sogo,S01,2024,Q1,Average DFS,104429
Hotel Sogo,S01,2024,Q1,ADS,288571
Hotel Sogo,S01,2024,Q1,Quarterly Weighted,23
Hotel Sogo,S01,2024,Q2,ANOR,150
Hotel Sogo,S01,2024,Q2,TNOG,40267
Hotel Sogo,S01,2024,Q2,ANOG,442
Hotel Sogo,S01,2024,Q2,TOR,3
Hotel Sogo,S01,2024,Q2,TFBOG,12042
Hotel Sogo,S01,2024,Q2,AFBOG,132
Hotel Sogo,S01,2024,Q2,%FBOG,0.3
Hotel Sogo,S01,2024,Q2,ARPS/G,668
Hotel Sogo,S01,2024,Q2,AFBPS/FBOG,330
Hotel Sogo,S01,2024,Q2,AFPS/G,99
Hotel Sogo,S01,2024,Q2,SPR,2264
Hotel Sogo,S01,2024,Q2,APS/G,767
Hotel Sogo,S01,2024,Q2,HPR,17
Hotel Sogo,S01,2024,Q2,ALOS,6
Hotel Sogo,S01,2024,Q2,Occupancy,0.71
Hotel Sogo,S01,2024,Q2,NOD,91
Hotel Sogo,S01,2024,Q2,Actual Hours,233284
Hotel Sogo,S01,2024,Q2,Paid Hours,266318
Hotel Sogo,S01,2024,Q2,Room,26891135
Hotel Sogo,S01,2024,Q2,F&B - Rooms,3977128
Hotel Sogo,S01,2024,Q2,F&B - Function,-
Hotel Sogo,S01,2024,Q2,F&B - Outlet,-
Hotel Sogo,S01,2024,Q2,Total Sales,30868263
Hotel Sogo,S01,2024,Q2,Average DRS,927281
Hotel Sogo,S01,2024,Q2,Average DFS,137142
Hotel Sogo,S01,2024,Q2,ADS,339212
Hotel Sogo,S01,2024,Q2,Quarterly Weighted,21
Hotel Sogo,S01,2024,Q3,ANOR,154
Hotel Sogo,S01,2024,Q3,TNOG,38402
Hotel Sogo,S01,2024,Q3,ANOG,417
Hotel Sogo,S01,2024,Q3,TOR,3
Hotel Sogo,S01,2024,Q3,TFBOG,11097
Hotel Sogo,S01,2024,Q3,AFBOG,121
Hotel Sogo,S01,2024,Q3,%FBOG,0.29
Hotel Sogo,S01,2024,Q3,ARPS/G,677
Hotel Sogo,S01,2024,Q3,AFBPS/FBOG,339
Hotel Sogo,S01,2024,Q3,AFPS/G,98
Hotel Sogo,S01,2024,Q3,SPR,2100
Hotel Sogo,S01,2024,Q3,APS/G,775
Hotel Sogo,S01,2024,Q3,HPR,16
Hotel Sogo,S01,2024,Q3,ALOS,6
Hotel Sogo,S01,2024,Q3,Occupancy,0.65
Hotel Sogo,S01,2024,Q3,NOD,92
Hotel Sogo,S01,2024,Q3,Actual Hours,220556
Hotel Sogo,S01,2024,Q3,Paid Hours,254327
Hotel Sogo,S01,2024,Q3,Room,25992004
Hotel Sogo,S01,2024,Q3,F&B - Rooms,3764456
Hotel Sogo,S01,2024,Q3,F&B - Function,-
Hotel Sogo,S01,2024,Q3,F&B - Outlet,-
Hotel Sogo,S01,2024,Q3,Total Sales,29756460
Hotel Sogo,S01,2024,Q3,Average DRS,838452
Hotel Sogo,S01,2024,Q3,Average DFS,121434
Hotel Sogo,S01,2024,Q3,ADS,323440
Hotel Sogo,S01,2024,Q3,Quarterly Weighted,22
Hotel Sogo,S01,2024,Q4,ANOR,154
Hotel Sogo,S01,2024,Q4,TNOG,39458
Hotel Sogo,S01,2024,Q4,ANOG,429
Hotel Sogo,S01,2024,Q4,TOR,3
Hotel Sogo,S01,2024,Q4,TFBOG,10865
Hotel Sogo,S01,2024,Q4,AFBOG,118
Hotel Sogo,S01,2024,Q4,%FBOG,0.28
Hotel Sogo,S01,2024,Q4,ARPS/G,670
Hotel Sogo,S01,2024,Q4,AFBPS/FBOG,347
Hotel Sogo,S01,2024,Q4,AFPS/G,95
Hotel Sogo,S01,2024,Q4,SPR,2132
Hotel Sogo,S01,2024,Q4,APS/G,766
Hotel Sogo,S01,2024,Q4,HPR,16
Hotel Sogo,S01,2024,Q4,ALOS,6
Hotel Sogo,S01,2024,Q4,Occupancy,0.66
Hotel Sogo,S01,2024,Q4,NOD,92
Hotel Sogo,S01,2024,Q4,Actual Hours,224184
Hotel Sogo,S01,2024,Q4,Paid Hours,258758
Hotel Sogo,S01,2024,Q4,Room,26440565
Hotel Sogo,S01,2024,Q4,F&B - Rooms,3767438
Hotel Sogo,S01,2024,Q4,F&B - Function,-
Hotel Sogo,S01,2024,Q4,F&B - Outlet,-
Hotel Sogo,S01,2024,Q4,Total Sales,30208003
Hotel Sogo,S01,2024,Q4,Average DRS,881352
Hotel Sogo,S01,2024,Q4,Average DFS,125581
Hotel Sogo,S01,2024,Q4,ADS,328348
Hotel Sogo,S01,2024,Q4,Quarterly Weighted,21
Hotel Sogo,S02,2024,Q1,ANOR,136
Hotel Sogo,S02,2024,Q1,TNOG,30255
Hotel Sogo,S02,2024,Q1,ANOG,332
Hotel Sogo,S02,2024,Q1,TOR,2
Hotel Sogo,S02,2024,Q1,TFBOG,9053
Hotel Sogo,S02,2024,Q1,AFBOG,99
Hotel Sogo,S02,2024,Q1,%FBOG,0.3
Hotel Sogo,S02,2024,Q1,ARPS/G,661
Hotel Sogo,S02,2024,Q1,AFBPS/FBOG,318
Hotel Sogo,S02,2024,Q1,AFPS/G,95
Hotel Sogo,S02,2024,Q1,SPR,1848
Hotel Sogo,S02,2024,Q1,APS/G,756
Hotel Sogo,S02,2024,Q1,HPR,13
Hotel Sogo,S02,2024,Q1,ALOS,5
Hotel Sogo,S02,2024,Q1,Occupancy,0.53
Hotel Sogo,S02,2024,Q1,NOD,91
Hotel Sogo,S02,2024,Q1,Actual Hours,156772
Hotel Sogo,S02,2024,Q1,Paid Hours,186109
Hotel Sogo,S02,2024,Q1,Room,19985807
Hotel Sogo,S02,2024,Q1,F&B - Rooms,2880003
Hotel Sogo,S02,2024,Q1,F&B - Function,-
Hotel Sogo,S02,2024,Q1,F&B - Outlet,-
Hotel Sogo,S02,2024,Q1,Total Sales,22865810
Hotel Sogo,S02,2024,Q1,Average DRS,644703
Hotel Sogo,S02,2024,Q1,Average DFS,92903
